location_key,region,town,street_name,block,blk_streetname
1,Central,BISHAN,BISHAN ST 11,145,145 BISHAN ST 11
2,Central,BISHAN,BISHAN ST 11,146,146 BISHAN ST 11
3,Central,BISHAN,BISHAN ST 11,147,147 BISHAN ST 11
4,Central,BISHAN,BISHAN ST 11,149,149 BISHAN ST 11
5,Central,BISHAN,BISHAN ST 11,152,152 BISHAN ST 11
6,Central,BISHAN,BISHAN ST 12,101,101 BISHAN ST 12
7,Central,BISHAN,BISHAN ST 12,102,102 BISHAN ST 12
8,Central,BISHAN,BISHAN ST 12,103,103 BISHAN ST 12
9,Central,BISHAN,BISHAN ST 12,105,105 BISHAN ST 12
10,Central,BISHAN,BISHAN ST 12,106,106 BISHAN ST 12
11,Central,BISHAN,BISHAN ST 12,107,107 BISHAN ST 12
12,Central,BISHAN,BISHAN ST 12,110,110 BISHAN ST 12
13,Central,BISHAN,BISHAN ST 12,111,111 BISHAN ST 12
14,Central,BISHAN,BISHAN ST 12,112,112 BISHAN ST 12
15,Central,BISHAN,BISHAN ST 12,113,113 BISHAN ST 12
16,Central,BISHAN,BISHAN ST 12,114,114 BISHAN ST 12
17,Central,BISHAN,BISHAN ST 12,115,115 BISHAN ST 12
18,Central,BISHAN,BISHAN ST 12,116,116 BISHAN ST 12
19,Central,BISHAN,BISHAN ST 12,117,117 BISHAN ST 12
20,Central,BISHAN,BISHAN ST 12,119,119 BISHAN ST 12
21,Central,BISHAN,BISHAN ST 12,120,120 BISHAN ST 12
22,Central,BISHAN,BISHAN ST 12,122,122 BISHAN ST 12
23,Central,BISHAN,BISHAN ST 12,123,123 BISHAN ST 12
24,Central,BISHAN,BISHAN ST 12,124,124 BISHAN ST 12
25,Central,BISHAN,BISHAN ST 12,125,125 BISHAN ST 12
26,Central,BISHAN,BISHAN ST 12,126,126 BISHAN ST 12
27,Central,BISHAN,BISHAN ST 12,127,127 BISHAN ST 12
28,Central,BISHAN,BISHAN ST 12,130,130 BISHAN ST 12
29,Central,BISHAN,BISHAN ST 12,131,131 BISHAN ST 12
30,Central,BISHAN,BISHAN ST 12,132,132 BISHAN ST 12
31,Central,BISHAN,BISHAN ST 12,134,134 BISHAN ST 12
32,Central,BISHAN,BISHAN ST 12,135,135 BISHAN ST 12
33,Central,BISHAN,BISHAN ST 12,136,136 BISHAN ST 12
34,Central,BISHAN,BISHAN ST 12,138,138 BISHAN ST 12
35,Central,BISHAN,BISHAN ST 12,139,139 BISHAN ST 12
36,Central,BISHAN,BISHAN ST 12,140,140 BISHAN ST 12
37,Central,BISHAN,BISHAN ST 12,141,141 BISHAN ST 12
38,Central,BISHAN,BISHAN ST 12,142,142 BISHAN ST 12
39,Central,BISHAN,BISHAN ST 12,144,144 BISHAN ST 12
40,Central,BISHAN,BISHAN ST 13,153,153 BISHAN ST 13
41,Central,BISHAN,BISHAN ST 13,154,154 BISHAN ST 13
42,Central,BISHAN,BISHAN ST 13,155,155 BISHAN ST 13
43,Central,BISHAN,BISHAN ST 13,158,158 BISHAN ST 13
44,Central,BISHAN,BISHAN ST 13,161,161 BISHAN ST 13
45,Central,BISHAN,BISHAN ST 13,162,162 BISHAN ST 13
46,Central,BISHAN,BISHAN ST 13,163,163 BISHAN ST 13
47,Central,BISHAN,BISHAN ST 13,164,164 BISHAN ST 13
48,Central,BISHAN,BISHAN ST 13,165,165 BISHAN ST 13
49,Central,BISHAN,BISHAN ST 13,166,166 BISHAN ST 13
50,Central,BISHAN,BISHAN ST 13,167,167 BISHAN ST 13
51,Central,BISHAN,BISHAN ST 13,168,168 BISHAN ST 13
52,Central,BISHAN,BISHAN ST 13,170,170 BISHAN ST 13
53,Central,BISHAN,BISHAN ST 13,171,171 BISHAN ST 13
54,Central,BISHAN,BISHAN ST 13,172,172 BISHAN ST 13
55,Central,BISHAN,BISHAN ST 13,173,173 BISHAN ST 13
56,Central,BISHAN,BISHAN ST 13,175,175 BISHAN ST 13
57,Central,BISHAN,BISHAN ST 13,176,176 BISHAN ST 13
58,Central,BISHAN,BISHAN ST 13,177,177 BISHAN ST 13
59,Central,BISHAN,BISHAN ST 13,178,178 BISHAN ST 13
60,Central,BISHAN,BISHAN ST 13,180,180 BISHAN ST 13
61,Central,BISHAN,BISHAN ST 13,181,181 BISHAN ST 13
62,Central,BISHAN,BISHAN ST 13,182,182 BISHAN ST 13
63,Central,BISHAN,BISHAN ST 13,184,184 BISHAN ST 13
64,Central,BISHAN,BISHAN ST 13,185,185 BISHAN ST 13
65,Central,BISHAN,BISHAN ST 13,186,186 BISHAN ST 13
66,Central,BISHAN,BISHAN ST 13,187,187 BISHAN ST 13
67,Central,BISHAN,BISHAN ST 13,188,188 BISHAN ST 13
68,Central,BISHAN,BISHAN ST 13,189,189 BISHAN ST 13
69,Central,BISHAN,BISHAN ST 13,190,190 BISHAN ST 13
70,Central,BISHAN,BISHAN ST 13,191,191 BISHAN ST 13
71,Central,BISHAN,BISHAN ST 13,194,194 BISHAN ST 13
72,Central,BISHAN,BISHAN ST 13,195,195 BISHAN ST 13
73,Central,BISHAN,BISHAN ST 13,196,196 BISHAN ST 13
74,Central,BISHAN,BISHAN ST 13,197,197 BISHAN ST 13
75,Central,BISHAN,BISHAN ST 22,233,233 BISHAN ST 22
76,Central,BISHAN,BISHAN ST 22,234,234 BISHAN ST 22
77,Central,BISHAN,BISHAN ST 22,235,235 BISHAN ST 22
78,Central,BISHAN,BISHAN ST 22,236,236 BISHAN ST 22
79,Central,BISHAN,BISHAN ST 22,237,237 BISHAN ST 22
80,Central,BISHAN,BISHAN ST 22,239,239 BISHAN ST 22
81,Central,BISHAN,BISHAN ST 22,241,241 BISHAN ST 22
82,Central,BISHAN,BISHAN ST 22,243,243 BISHAN ST 22
83,Central,BISHAN,BISHAN ST 22,245,245 BISHAN ST 22
84,Central,BISHAN,BISHAN ST 22,246,246 BISHAN ST 22
85,Central,BISHAN,BISHAN ST 22,248,248 BISHAN ST 22
86,Central,BISHAN,BISHAN ST 22,249,249 BISHAN ST 22
87,Central,BISHAN,BISHAN ST 22,251,251 BISHAN ST 22
88,Central,BISHAN,BISHAN ST 22,252,252 BISHAN ST 22
89,Central,BISHAN,BISHAN ST 22,253,253 BISHAN ST 22
90,Central,BISHAN,BISHAN ST 22,254,254 BISHAN ST 22
91,Central,BISHAN,BISHAN ST 22,256,256 BISHAN ST 22
92,Central,BISHAN,BISHAN ST 22,257,257 BISHAN ST 22
93,Central,BISHAN,BISHAN ST 22,259,259 BISHAN ST 22
94,Central,BISHAN,BISHAN ST 22,261,261 BISHAN ST 22
95,Central,BISHAN,BISHAN ST 22,262,262 BISHAN ST 22
96,Central,BISHAN,BISHAN ST 22,285,285 BISHAN ST 22
97,Central,BISHAN,BISHAN ST 22,292,292 BISHAN ST 22
98,Central,BISHAN,BISHAN ST 22,293,293 BISHAN ST 22
99,Central,BISHAN,BISHAN ST 23,201,201 BISHAN ST 23
100,Central,BISHAN,BISHAN ST 23,203,203 BISHAN ST 23
101,Central,BISHAN,BISHAN ST 23,204,204 BISHAN ST 23
102,Central,BISHAN,BISHAN ST 23,205,205 BISHAN ST 23
103,Central,BISHAN,BISHAN ST 23,207,207 BISHAN ST 23
104,Central,BISHAN,BISHAN ST 23,208,208 BISHAN ST 23
105,Central,BISHAN,BISHAN ST 23,210,210 BISHAN ST 23
106,Central,BISHAN,BISHAN ST 23,211,211 BISHAN ST 23
107,Central,BISHAN,BISHAN ST 23,212,212 BISHAN ST 23
108,Central,BISHAN,BISHAN ST 23,213,213 BISHAN ST 23
109,Central,BISHAN,BISHAN ST 23,214,214 BISHAN ST 23
110,Central,BISHAN,BISHAN ST 23,216,216 BISHAN ST 23
111,Central,BISHAN,BISHAN ST 23,218,218 BISHAN ST 23
112,Central,BISHAN,BISHAN ST 23,219,219 BISHAN ST 23
113,Central,BISHAN,BISHAN ST 23,220,220 BISHAN ST 23
114,Central,BISHAN,BISHAN ST 23,221,221 BISHAN ST 23
115,Central,BISHAN,BISHAN ST 23,223,223 BISHAN ST 23
116,Central,BISHAN,BISHAN ST 23,224,224 BISHAN ST 23
117,Central,BISHAN,BISHAN ST 23,225,225 BISHAN ST 23
118,Central,BISHAN,BISHAN ST 23,226,226 BISHAN ST 23
119,Central,BISHAN,BISHAN ST 23,227,227 BISHAN ST 23
120,Central,BISHAN,BISHAN ST 23,228,228 BISHAN ST 23
121,Central,BISHAN,BISHAN ST 23,229,229 BISHAN ST 23
122,Central,BISHAN,BISHAN ST 23,230,230 BISHAN ST 23
123,Central,BISHAN,BISHAN ST 23,231,231 BISHAN ST 23
124,Central,BISHAN,BISHAN ST 24,264,264 BISHAN ST 24
125,Central,BISHAN,BISHAN ST 24,265,265 BISHAN ST 24
126,Central,BISHAN,BISHAN ST 24,266,266 BISHAN ST 24
127,Central,BISHAN,BISHAN ST 24,267,267 BISHAN ST 24
128,Central,BISHAN,BISHAN ST 24,268,268 BISHAN ST 24
129,Central,BISHAN,BISHAN ST 24,269,269 BISHAN ST 24
130,Central,BISHAN,BISHAN ST 24,271,271 BISHAN ST 24
131,Central,BISHAN,BISHAN ST 24,272,272 BISHAN ST 24
132,Central,BISHAN,BISHAN ST 24,273A,273A BISHAN ST 24
133,Central,BISHAN,BISHAN ST 24,273B,273B BISHAN ST 24
134,Central,BISHAN,BISHAN ST 24,275A,275A BISHAN ST 24
135,Central,BISHAN,BISHAN ST 24,278,278 BISHAN ST 24
136,Central,BISHAN,BISHAN ST 24,286,286 BISHAN ST 24
137,Central,BISHAN,BISHAN ST 24,288,288 BISHAN ST 24
138,Central,BISHAN,BISHAN ST 24,289,289 BISHAN ST 24
139,Central,BISHAN,BISHAN ST 24,290,290 BISHAN ST 24
140,Central,BISHAN,BISHAN ST 24,291,291 BISHAN ST 24
141,Central,BISHAN,BRIGHT HILL DR,447,447 BRIGHT HILL DR
142,Central,BISHAN,SHUNFU RD,302,302 SHUNFU RD
143,Central,BISHAN,SHUNFU RD,303,303 SHUNFU RD
144,Central,BISHAN,SHUNFU RD,304,304 SHUNFU RD
145,Central,BISHAN,SHUNFU RD,305,305 SHUNFU RD
146,Central,BISHAN,SHUNFU RD,307,307 SHUNFU RD
147,Central,BISHAN,SHUNFU RD,308,308 SHUNFU RD
148,Central,BISHAN,SHUNFU RD,311,311 SHUNFU RD
149,Central,BISHAN,SHUNFU RD,312,312 SHUNFU RD
150,Central,BISHAN,SHUNFU RD,313,313 SHUNFU RD
151,Central,BISHAN,SIN MING AVE,401,401 SIN MING AVE
152,Central,BISHAN,SIN MING AVE,403,403 SIN MING AVE
153,Central,BISHAN,SIN MING AVE,404,404 SIN MING AVE
154,Central,BISHAN,SIN MING AVE,405,405 SIN MING AVE
155,Central,BISHAN,SIN MING AVE,406,406 SIN MING AVE
156,Central,BISHAN,SIN MING AVE,407,407 SIN MING AVE
157,Central,BISHAN,SIN MING AVE,408,408 SIN MING AVE
158,Central,BISHAN,SIN MING AVE,441,441 SIN MING AVE
159,Central,BISHAN,SIN MING AVE,442,442 SIN MING AVE
160,Central,BISHAN,SIN MING AVE,443,443 SIN MING AVE
161,Central,BISHAN,SIN MING AVE,445,445 SIN MING AVE
162,Central,BISHAN,SIN MING AVE,450,450 SIN MING AVE
163,Central,BISHAN,SIN MING AVE,451,451 SIN MING AVE
164,Central,BISHAN,SIN MING AVE,452,452 SIN MING AVE
165,Central,BISHAN,SIN MING AVE,453,453 SIN MING AVE
166,Central,BISHAN,SIN MING AVE,455,455 SIN MING AVE
167,Central,BISHAN,SIN MING RD,22,22 SIN MING RD
168,Central,BISHAN,SIN MING RD,23,23 SIN MING RD
169,Central,BISHAN,SIN MING RD,24,24 SIN MING RD
170,Central,BISHAN,SIN MING RD,25,25 SIN MING RD
171,Central,BUKIT MERAH,BEO CRES,24,24 BEO CRES
172,Central,BUKIT MERAH,BEO CRES,36,36 BEO CRES
173,Central,BUKIT MERAH,BEO CRES,40,40 BEO CRES
174,Central,BUKIT MERAH,BOON TIONG RD,10A,10A BOON TIONG RD
175,Central,BUKIT MERAH,BOON TIONG RD,10B,10B BOON TIONG RD
176,Central,BUKIT MERAH,BOON TIONG RD,2A,2A BOON TIONG RD
177,Central,BUKIT MERAH,BOON TIONG RD,2C,2C BOON TIONG RD
178,Central,BUKIT MERAH,BOON TIONG RD,4A,4A BOON TIONG RD
179,Central,BUKIT MERAH,BOON TIONG RD,4B,4B BOON TIONG RD
180,Central,BUKIT MERAH,BOON TIONG RD,6A,6A BOON TIONG RD
181,Central,BUKIT MERAH,BOON TIONG RD,6B,6B BOON TIONG RD
182,Central,BUKIT MERAH,BOON TIONG RD,8A,8A BOON TIONG RD
183,Central,BUKIT MERAH,BOON TIONG RD,8B,8B BOON TIONG RD
184,Central,BUKIT MERAH,BOON TIONG RD,9A,9A BOON TIONG RD
185,Central,BUKIT MERAH,BOON TIONG RD,9B,9B BOON TIONG RD
