transaction_id,date_key,location_key,flat_key,lease_key,resale_price,price_per_sqm
564066,7,756,225,241,440000,5945.95
574946,12,756,237,242,418000,6147.06
556974,4,1676,190,172,335000,5677.97
565357,8,1676,230,173,370000,6271.19
554786,3,1736,1765,335,637000,4789.47
560134,5,1812,177,264,315000,4772.73
570766,10,1812,187,265,358000,4649.35
559493,5,216,1567,336,860000,7226.89
570077,10,216,1713,337,988000,8302.52
574374,12,216,1593,338,938000,7882.35
551760,1,1072,196,150,420000,6461.54
562402,6,1072,234,151,372000,5723.08
562403,6,1072,196,152,335000,5153.85
571002,10,1072,176,153,367000,5646.15
575204,12,1072,196,154,367000,5646.15
561581,6,232,491,266,525000,7291.67
555957,3,1085,256,174,415000,6384.62
555959,3,1085,196,175,418000,6430.77
560385,5,1085,256,176,390000,6000.0
571009,10,1085,207,172,437000,5750.0
575209,12,1085,234,177,300000,4615.38
555311,3,669,190,311,348888,5913.36
557553,4,669,251,312,392188,6647.25
559760,5,669,172,312,345000,5847.46
574583,12,669,210,313,385000,6525.42
574585,12,669,251,313,383000,6491.53
563775,7,4497,230,155,320000,5423.73
566039,8,4497,172,156,305000,5169.49
568333,9,4497,172,156,318888,5404.88
570390,10,4497,230,157,320000,5423.73
555357,3,4497,201,158,321888,4598.4
550611,1,272,195,339,320000,5000.0
570024,10,272,233,338,392000,6125.0
574319,12,272,215,340,370000,5781.25
551394,1,874,614,360,398888,6433.68
566388,8,874,579,361,370000,5967.74
556477,3,1304,218,33,325000,4850.75
567253,8,1304,218,34,338000,5044.78
567058,8,5845,255,217,410000,6406.25
571337,10,5845,263,218,430000,5890.41
575483,12,5845,195,219,330000,5156.25
560924,5,2938,216,130,300000,4615.38
564897,7,2938,196,131,285000,4384.62
567306,8,2938,196,132,288000,4430.77
553325,2,697,799,720,660000,6947.37
559781,5,697,799,721,705000,7421.05
557909,4,911,734,178,450000,5487.8
570233,10,6993,846,362,451000,4336.54
550625,1,385,257,339,390000,5909.09
557247,4,385,177,341,360000,5454.55
557248,4,385,235,341,390000,5909.09
570028,10,385,264,338,418888,5660.65
550776,1,526,284,195,475000,8050.85
553149,2,526,284,196,458000,7762.71
555106,3,526,251,196,464000,7864.41
561703,6,526,284,197,515000,8728.81
561704,6,526,267,198,488000,8271.19
563586,7,526,267,198,495000,8389.83
570160,10,526,190,199,450000,7627.12
570161,10,526,261,199,545000,7785.71
